,RUN,N_COMPONENTS,TOPICS_THRESHOLD,NEIGHBORS,QUANTILE_THRESHOLD,orig_avg_accuracy,nmf_avg_accuracy,lda_avg_accuracy,lda_w2v_avg_accuracy,nmf_avg_tags_number_accuracy,lda_avg_tags_number_accuracy,lda_w2v_avg_tags_number_accuracy,nmf_global_accuracy,lda_global_accuracy,lda_global_avg_accuracy,orig_med_accuracy,nmf_med_accuracy,lda_med_accuracy,lda_w2v_med_accuracy,orig_avg_tags_number,nmf_avg_tags_number,lda_avg_tags_number,lda_w2v_avg_tags_number,orig_med_tags_number,nmf_med_tags_number,lda_med_tags_number,lda_w2v_med_tags_number
53,53,10,0.35000000000000003,15,0.8,0.5321383647798742,0.5810817610062893,0.5946792452830189,0.6014716981132076,0.5519735232098921,0.5244254132281042,0.546155719477981,0.5713790150741569,0.571261301264714,0.583033038568132,0.5321383647798742,0.5810817610062893,0.5946792452830189,0.6014716981132076,2.1192452830188677,6.698867924528302,10.017358490566037,6.668679245283019,2.0,6.0,12.0,7.0
54,54,10,0.35000000000000003,20,0.75,0.5321383647798742,0.5965534591194969,0.6098616352201257,0.6176981132075471,0.5250022226330505,0.5105489039650216,0.5207727527573659,0.5727030469573481,0.5767573914684244,0.5853896597241534,0.5321383647798742,0.5965534591194969,0.6098616352201257,0.6176981132075471,2.1192452830188677,7.931320754716981,11.909433962264151,7.795471698113207,2.0,7.0,13.0,8.0
55,55,10,0.35000000000000003,20,0.8,0.5321383647798742,0.5920251572327044,0.6094842767295597,0.6089559748427673,0.5348472165362853,0.511416606010346,0.5386544388691754,0.5729658436672315,0.5767950531564885,0.5855221295182367,0.5321383647798742,0.5920251572327044,0.6094842767295597,0.6089559748427673,2.1192452830188677,7.30188679245283,11.824150943396226,6.900377358490566,2.0,7.0,13.0,7.0
56,56,10,0.4,5,0.75,0.5321383647798742,0.5731446540880503,0.5549937106918238,0.5866792452830188,0.599802369646553,0.5755031781068507,0.5810437665797782,0.5820305592742178,0.5618301998301661,0.5848007523819386,0.5321383647798742,0.5731446540880503,0.5549937106918238,0.5866792452830188,2.1192452830188677,5.263396226415094,5.495094339622642,5.590188679245283,2.0,5.0,6.0,5.0
57,57,10,0.4,5,0.8,0.5321383647798742,0.5661635220125786,0.5549937106918238,0.5770566037735848,0.616582032349797,0.5759939167273949,0.5930239176307721,0.5829696921249847,0.5619937793703474,0.5823790417259805,0.5321383647798742,0.5661635220125786,0.5549937106918238,0.5770566037735848,2.1192452830188677,4.87245283018868,5.463396226415094,5.235471698113208,2.0,4.0,6.0,5.0
58,58,10,0.4,10,0.75,0.5321383647798742,0.5792327044025157,0.5822893081761006,0.5961383647798743,0.5802832003678781,0.5454037272153874,0.5527355357345516,0.5795828697243032,0.5699941145225296,0.5816707550981001,0.5321383647798742,0.5792327044025157,0.5822893081761006,0.5961383647798743,2.1192452830188677,6.05433962264151,7.841509433962264,6.569811320754717,2.0,5.0,10.0,6.0
59,59,10,0.4,10,0.8,0.5321383647798742,0.5748301886792452,0.5819119496855346,0.592805031446541,0.5917808888107777,0.5458424843122437,0.569434650778351,0.5804804220564227,0.5698887945611043,0.5850149045571443,0.5321383647798742,0.5748301886792452,0.5819119496855346,0.592805031446541,2.1192452830188677,5.613584905660377,7.788679245283019,6.04,2.0,5.0,10.0,6.0
60,60,10,0.4,15,0.75,0.5321383647798742,0.5791320754716981,0.5892704402515723,0.6033333333333334,0.5585943451644941,0.5280595245110751,0.5398898498425125,0.5722861653692968,0.5688668016714066,0.5821855055030598,0.5321383647798742,0.5791320754716981,0.5892704402515723,0.6033333333333334,2.1192452830188677,6.476981132075472,9.689811320754718,7.019622641509434,2.0,6.0,11.0,7.0
61,61,10,0.4,15,0.8,0.5321383647798742,0.5770566037735849,0.5892704402515723,0.594880503144654,0.5705491478708428,0.5293366365662874,0.5571201392318527,0.5748874518060042,0.5692925056898107,0.5822937151737202,0.5321383647798742,0.5770566037735849,0.5892704402515723,0.594880503144654,2.1192452830188677,6.067924528301887,9.556981132075471,6.2981132075471695,2.0,5.0,11.0,6.0
62,62,10,0.4,20,0.75,0.5321383647798742,0.5933459119496856,0.6019119496855345,0.6015094339622642,0.5387890392152456,0.5180689781203798,0.5329357886417992,0.5751602877048723,0.5739642924971496,0.5786515521887758,0.5321383647798742,0.5933459119496856,0.6019119496855345,0.6015094339622642,2.1192452830188677,7.253584905660377,11.184905660377359,7.279245283018868,2.0,7.0,12.0,7.0
